id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,equipments_total,bassins_total,operational_status_code,operational_status_label,operational_status_reason,status_source,status_source_url,status_reviewed_at,status_confidence,status_verified_by,status_is_manual,status_override_comment,survey_date_latest,state_change_date_latest
I592910011,Piscine André Leduc,59291,Hautmont,200043396,CA Maubeuge Val de Sambre,59,Nord,2,2,closed,Fermé / hors service,Le site municipal mentionne explicitement la piscine André-Leduc fermée en 2019.,Mairie d'Hautmont,https://www.mairie-hautmont.fr/les-quartiers-dhautmont/,2026-03-11,Forte,,1,Le site municipal mentionne explicitement la piscine André-Leduc fermée en 2019.,2025-03-31,2023-11-20
I592950020,Piscine intercommunale d'Hazebrouck,59295,Hazebrouck,200040947,CC de Flandre Intérieure,59,Nord,2,2,closed,Fermé / hors service,Le procès-verbal municipal de mai 2025 indique explicitement que la piscine d'intérêt communautaire d'Hazebrouck est fermée définitivement depuis décembre 2024 pour raisons techniques.,Ville d'Hazebrouck,https://www.ville-hazebrouck.fr/download/file/13952?key=JveZPe3zsLqf%2FMFO4CyMjA%3D%3D,2026-03-16,Forte,,1,Le procès-verbal municipal de mai 2025 indique explicitement que la piscine d'intérêt communautaire d'Hazebrouck est fermée définitivement depuis décembre 2024 pour raisons techniques.,2025-03-31,2024-05-14
I593240009,PISCINE COUBERTIN,59324,Jeumont,200043396,CA Maubeuge Val de Sambre,59,Nord,1,1,closed,Fermé / hors service,"Le rapport d'activités 2024 de l'agglomération mentionne en juillet 2025 la déconstruction de la piscine Pierre de Coubertin à Jeumont, ce qui confirme la fermeture définitive de l'ancien site.",Agglo Maubeuge-Val de Sambre,https://agglo-maubeugevaldesambre.fr/wp-content/uploads/2025/09/Rapport-dactivites-2024.pdf,2026-03-16,Forte,,1,"Le rapport d'activités 2024 de l'agglomération mentionne en juillet 2025 la déconstruction de la piscine Pierre de Coubertin à Jeumont, ce qui confirme la fermeture définitive de l'ancien site.",2025-03-31,2024-04-24
I593400009,PISCINE PAUL HANCOLAS ET SALLE DEMARTINICOURT,59340,Leffrinckoucke,245900428,CU de Dunkerque,59,Nord,5,2,closed,Fermé / hors service,"Le magazine municipal hiver 2024 indique qu'un espace multisports a été aménagé dans l'ancienne piscine Paul Haucolas, ce qui confirme que l'ancienne piscine n'est plus en exploitation.",Commune de Leffrinckoucke,https://leffrinckoucke.fr/wp-content/uploads/Magazine_Leffrinckou_Quoi_n16_Hiver_2024.pdf,2026-03-16,Forte,,1,"Le magazine municipal hiver 2024 indique qu'un espace multisports a été aménagé dans l'ancienne piscine Paul Haucolas, ce qui confirme que l'ancienne piscine n'est plus en exploitation.",2025-03-31,2024-04-24
I593500108,Piscine Olympique Marx Dormoy,59350,Lille,200093201,Métropole Européenne de Lille,59,Nord,5,2,closed,Fermé / hors service,La Ville de Lille indique sur la concertation officielle que la piscine Marx Dormoy a fermé définitivement en juin 2025 et qu'un bassin provisoire doit la remplacer en 2026.,Ville de Lille,https://jeparticipe.lille.fr/processes/TransformerLillefives/f/49/proposals/611,2026-03-16,Forte,,1,La Ville de Lille indique sur la concertation officielle que la piscine Marx Dormoy a fermé définitivement en juin 2025 et qu'un bassin provisoire doit la remplacer en 2026.,2025-03-31,2024-04-24
I595270004,"Complexe Piscine, volley",59527,Saint-André-lez-Lille,200093201,Métropole Européenne de Lille,59,Nord,5,2,closed,Fermé / hors service,"La ville indique que la piscine municipale a été fermée immédiatement en décembre 2022 pour raisons de sécurité et qu'une nouvelle piscine métropolitaine n'est attendue qu'entre 2028 et 2029, ce qui confirme la fermeture durable du site actuel.",Ville de Saint-André-lez-Lille,https://www.villesaintandre.fr/15463-piscine-municipale.htm,2026-03-16,Forte,,1,"La ville indique que la piscine municipale a été fermée immédiatement en décembre 2022 pour raisons de sécurité et qu'une nouvelle piscine métropolitaine n'est attendue qu'entre 2028 et 2029, ce qui confirme la fermeture durable du site actuel.",2025-03-31,2020-01-08
I806200031,Piscine Tournesol,80620,Péronne,200037059,CC de la Haute Somme (Combles - Péronne - Roisel),80,Somme,3,1,closed,Fermé / hors service,"Le procès-verbal communautaire de février 2018 mentionne explicitement la démolition de la piscine Tournesol rue Saint-Denis à Péronne, en lien avec la construction du centre aquatique O2 Somme.",Communauté de Communes de la Haute Somme,https://www.coeurhautesomme.fr/wp-content/uploads/2023/11/180201_PV-du-Conseil-Commuanutaire.pdf,2026-03-16,Forte,,1,"Le procès-verbal communautaire de février 2018 mentionne explicitement la démolition de la piscine Tournesol rue Saint-Denis à Péronne, en lien avec la construction du centre aquatique O2 Somme.",2025-03-31,2011-11-22
I023340006,Piscine,02334,Fresnoy-le-Grand,240200493,CC du Pays du Vermandois,02,Aisne,3,2,temporary_closed,Fermé temporairement / travaux,"La page officielle présente en mars 2026 le centre aquatique du Vermandois comme un site en rénovation, avec photos de chantier datées de janvier et mars 2026.",CC du Pays du Vermandois,https://cc-vermandois.com/centre-aquatique-du-vermandois,2026-03-16,Forte,,1,"La page officielle présente en mars 2026 le centre aquatique du Vermandois comme un site en rénovation, avec photos de chantier datées de janvier et mars 2026.",2025-03-31,2024-04-23
I590080007,piscine municipale,59008,Aniche,245901152,CC Cœur d'Ostrevent,59,Nord,1,1,temporary_closed,Fermé temporairement / travaux,"La ville d'Aniche a publié le 1er juin 2025 un arrêté de péril imminent concernant la piscine Tournesol après un incendie criminel, ce qui confirme une fermeture temporaire du site.",Ville d'Aniche,https://www.aniche.fr/actualites/nouvelles/2025-juin/14308-arrete-de-peril-imminent-piscine-tournesol-rue-leo-lagrange-suite-a-un-incendie-criminel,2026-03-16,Forte,,1,"La ville d'Aniche a publié le 1er juin 2025 un arrêté de péril imminent concernant la piscine Tournesol après un incendie criminel, ce qui confirme une fermeture temporaire du site.",2025-03-31,2015-07-15
I590280009,PISCINE MUNICIPALE,59028,Auby,200044618,CA Douaisis Agglo,59,Nord,2,2,temporary_closed,Fermé temporairement / travaux,Le site municipal annonce le 22 janvier 2026 une fermeture temporaire pour problème technique sans date de réouverture.,Ville d'Auby,https://auby.fr/2026/01/22/la-piscine-municipale-temporairement-fermee-pour-un-probleme-technique/,2026-03-11,Forte,,1,Le site municipal annonce le 22 janvier 2026 une fermeture temporaire pour problème technique sans date de réouverture.,2025-03-31,2015-09-29
I590360001,Piscine Laurent Swaenepoel,59036,Avesnes-sur-Helpe,200043263,CC Cœur de l'Avesnois,59,Nord,5,2,temporary_closed,Fermé temporairement / travaux,Canal FM indique le 9 octobre 2025 que la piscine d'Avesnes-sur-Helpe est fermée au public depuis plus de 10 ans et que les travaux de réhabilitation ont démarré début septembre 2025 pour une réouverture visée en septembre ou octobre 2026.,Canal FM,https://www.canalfm.fr/avesnes-sur-helpe-80-de-subventions-pour-requalifier-l-ancienne-piscine,2026-03-16,Moyenne,,1,Canal FM indique le 9 octobre 2025 que la piscine d'Avesnes-sur-Helpe est fermée au public depuis plus de 10 ans et que les travaux de réhabilitation ont démarré début septembre 2025 pour une réouverture visée en septembre ou octobre 2026.,2025-03-31,2015-12-11
I592860012,"Centre Aquatique Loos Haubourdin ""NEPTUNIA""",59286,Haubourdin,200093201,Métropole Européenne de Lille,59,Nord,6,3,temporary_closed,Fermé temporairement / travaux,Fermeture anticipée au 1er septembre 2025 annoncée officiellement pour Neptunia.,Ville d'Haubourdin,https://www.haubourdin.fr/2025/08/19/fermeture-piscine-neptunia/,2026-03-11,Forte,,1,Fermeture anticipée au 1er septembre 2025 annoncée officiellement pour Neptunia.,2025-03-31,2024-04-24
I595070005,PISCINE MUNICIPALE,59507,Ronchin,200093201,Métropole Européenne de Lille,59,Nord,3,2,temporary_closed,Fermé temporairement / travaux,La Ville de Ronchin indique trois semaines avant le 11 mars 2026 que la piscine municipale est fermée et ne peut pas rouvrir avant le 1er mars 2026 au mieux.,Ville de Ronchin,https://ville-ronchin.fr/piscine-informations,2026-03-11,Forte,,1,La Ville de Ronchin indique trois semaines avant le 11 mars 2026 que la piscine municipale est fermée et ne peut pas rouvrir avant le 1er mars 2026 au mieux.,2025-03-31,2024-04-24
I595080005,PISCINE,59508,Roncq,200093201,Métropole Européenne de Lille,59,Nord,1,1,temporary_closed,Fermé temporairement / travaux,"La ville indique le 13 novembre 2025 que la piscine municipale est fermée à la suite de l'inondation d'un local technique et ne pourra pas rouvrir avant le 1er mars 2026 au mieux, ce qui confirme une fermeture temporaire prolongée.",Ville de Roncq,https://www.roncq.fr/actualites/piscine-fermeture-prolongee,2026-03-16,Forte,,1,"La ville indique le 13 novembre 2025 que la piscine municipale est fermée à la suite de l'inondation d'un local technique et ne pourra pas rouvrir avant le 1er mars 2026 au mieux, ce qui confirme une fermeture temporaire prolongée.",2025-03-31,2024-04-24
I595120028,Centre Nautique THALASSA,59512,Roubaix,200093201,Métropole Européenne de Lille,59,Nord,3,1,temporary_closed,Fermé temporairement / travaux,Le site officiel indique que le centre nautique Thalassa est fermé temporairement pour travaux.,SIVU Thalassa,https://www.sivu-thalassa.fr/centre-nautique-thalassa-horaires-tarifs,2026-03-11,Forte,,1,Le site officiel indique que le centre nautique Thalassa est fermé temporairement pour travaux.,2025-03-31,2024-04-24
I601590032,PISCINE HIVER AVENUE D'HUY,60159,Compiègne,200067965,CA de la Région de Compiègne et de la Basse Automne,60,Oise,3,2,temporary_closed,Fermé temporairement / travaux,"Le magazine communautaire de février 2026 indique que la piscine de Huy, non ouverte au public, va bénéficier d'un important chantier en 2026.",Agglomération de la Région de Compiègne,https://www.agglo-compiegne.fr/sites/default/files/2026-02/CNV%20442.pdf,2026-03-16,Forte,,1,"Le magazine communautaire de février 2026 indique que la piscine de Huy, non ouverte au public, va bénéficier d'un important chantier en 2026.",2025-03-31,2024-04-24
I800210027,Piscine Le Nautilus (structurant),80021,Amiens,248000531,CA Amiens Métropole,80,Somme,3,3,temporary_closed,Fermé temporairement / travaux,Amiens Métropole indique en novembre 2025 que la piscine Nautilus est en travaux avec premiers plongeons début 2027.,Amiens Métropole,https://www.amiens.fr/Actualites/Le-Nautilus-se-reinvente,2026-03-11,Forte,,1,Amiens Métropole indique en novembre 2025 que la piscine Nautilus est en travaux avec premiers plongeons début 2027.,2025-03-31,2018-02-23
I020370001,Complexe sportif,02037,Aulnois-sous-Laon,200043495,CA du Pays de Laon,02,Aisne,4,2,verify,Statut à vérifier,La page officielle de la piscine sur le site communal conserve une information de non-ouverture à l'été 2020 et n'apporte pas de calendrier récent de réouverture. Je n'ai pas retrouvé de mise à jour officielle plus récente.,Commune d'Aulnois-sous-Laon,https://aulnois.jimdoweb.com/la-piscine/,2026-03-16,Moyenne,,1,La page officielle de la piscine sur le site communal conserve une information de non-ouverture à l'été 2020 et n'apporte pas de calendrier récent de réouverture. Je n'ai pas retrouvé de mise à jour officielle plus récente.,2025-03-31,2024-02-22
I022090001,Piscine Municipale (type entérée),02209,Condé-en-Brie,200072031,CA de la Région de Château-Thierry,02,Aisne,1,1,verify,Statut à vérifier,"Le site communal indique toujours que la piscine n'a pas ouvert à l'été 2020, et le compte rendu du conseil municipal du 13 juin 2022 acte la clôture de la régie piscine. Je n'ai pas retrouvé de source officielle plus récente confirmant une réouverture.",Commune de Condé-en-Brie,https://www.conde-en-brie.fr/mairie/comptes-rendus-municipaux.php,2026-03-16,Moyenne,,1,"Le site communal indique toujours que la piscine n'a pas ouvert à l'été 2020, et le compte rendu du conseil municipal du 13 juin 2022 acte la clôture de la régie piscine. Je n'ai pas retrouvé de source officielle plus récente confirmant une réouverture.",2025-03-31,2024-07-03
I596540006,PISCINE MUNICIPALE,59654,Waziers,200044618,CA Douaisis Agglo,59,Nord,2,2,verify,Statut à vérifier,"La source communale visible en 2026 parle d'une fermeture provisoire à titre conservatoire, mais un article de presse locale publié en 2024 évoque une fermeture définitive actée. En l'état, le statut exact doit être confirmé avant de trancher.",Ville de Waziers,https://www.intramuros.org/waziers/decouvrir/4629,2026-03-16,Moyenne,,1,"La source communale visible en 2026 parle d'une fermeture provisoire à titre conservatoire, mais un article de presse locale publié en 2024 évoque une fermeture définitive actée. En l'état, le statut exact doit être confirmé avant de trancher.",2025-03-31,2015-06-19
I620480002,COMPLEXE BASLY,62048,Auchel,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,10,2,verify,Statut à vérifier,"La mairie affiche une page indiquant que la piscine d'Auchel est fermée actuellement pour raisons techniques, mais d'autres pages municipales récentes d'associations sportives continuent de mentionner des créneaux à la piscine. Le statut exact doit donc être confirmé avant de trancher.",Ville d'Auchel,https://www.auchel.fr/piscine-dauchel-fermee/,2026-03-16,Moyenne,,1,"La mairie affiche une page indiquant que la piscine d'Auchel est fermée actuellement pour raisons techniques, mais d'autres pages municipales récentes d'associations sportives continuent de mentionner des créneaux à la piscine. Le statut exact doit donc être confirmé avant de trancher.",2025-03-31,2024-04-24
I627670011,Piscine Municipale,62767,Saint-Pol-sur-Ternoise,200069672,CC du Ternois,62,Pas-de-Calais,2,2,verify,Statut à vérifier,"L'annuaire municipal conserve une fiche dédiée à la piscine municipale de Saint-Pol-sur-Ternoise, mais sans horaires, calendrier d'ouverture ni indication récente d'exploitation. Le statut actuel reste donc à confirmer.",Ville de Saint-Pol-sur-Ternoise,https://www.saintpolsurternoise.fr/annuaire/piscine-saint-pol-sur-ternoise/,2026-03-16,Moyenne,,1,"L'annuaire municipal conserve une fiche dédiée à la piscine municipale de Saint-Pol-sur-Ternoise, mais sans horaires, calendrier d'ouverture ni indication récente d'exploitation. Le statut actuel reste donc à confirmer.",2025-03-31,2014-11-16
I020710003,"Camping ""La Croix du vieux Pont",02071,Berny-Rivière,200071991,CC Retz-en-Valois,02,Aisne,11,3,seasonal,Ouverture saisonnière,"Le site officiel du camping indique une ouverture du 27 mars au 1er novembre 2026 et précise que la piscine couverte est ouverte d'avril à octobre, ce qui confirme un fonctionnement saisonnier.",La Croix du Vieux Pont,https://www.la-croix-du-vieux-pont.com/parc-aquatique-et-plage/,2026-03-16,Forte,,1,"Le site officiel du camping indique une ouverture du 27 mars au 1er novembre 2026 et précise que la piscine couverte est ouverte d'avril à octobre, ce qui confirme un fonctionnement saisonnier.",2025-03-31,2024-02-05
I602380004,PISCINE JEAN TOURSIERE,60238,Fleurines,200066975,CC Senlis Sud Oise,60,Oise,1,1,seasonal,Ouverture saisonnière,"La page officielle de la commune présente une piscine d'été avec tarification de saison et modalités d'ouverture estivales, ce qui confirme une ouverture saisonnière.",Mairie de Fleurines,https://fleurines.fr/culture%2C-sports-et-loisirs/loisirs-sportifs/piscine-d-%C3%A9t%C3%A9.html,2026-03-16,Forte,,1,"La page officielle de la commune présente une piscine d'été avec tarification de saison et modalités d'ouverture estivales, ce qui confirme une ouverture saisonnière.",2025-03-31,2018-10-25
I621780006,Piscine Art Déco,62178,Bruay-la-Buissière,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,2,2,seasonal,Ouverture saisonnière,"La page officielle des piscines communautaires précise que la piscine communautaire de Bruay-La-Buissière ferme pour la saison hivernale à compter du 28 septembre 2025, ce qui confirme une ouverture saisonnière.",Béthune-Bruay Agglomération,https://www.bethunebruay.fr/index.php/fr/piscines-communautaires,2026-03-16,Forte,,1,"La page officielle des piscines communautaires précise que la piscine communautaire de Bruay-La-Buissière ferme pour la saison hivernale à compter du 28 septembre 2025, ce qui confirme une ouverture saisonnière.",2025-03-31,2024-03-13
I624570001,PARC DEPARTEMENTAL DE NATURE ET DE LOISIRS D'OLHAIN,62356,Fresnicourt-le-Dolmen,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,21,2,seasonal,Ouverture saisonnière,"Le Département indique pour l'été 2025 que la piscine du parc d'Olhain est ouverte en juillet-août sur deux créneaux horaires, ce qui confirme une ouverture saisonnière.",Département du Pas-de-Calais,https://www.pasdecalais.fr/cest-lete-au-parc-departemental-dolhain,2026-03-16,Forte,,1,"Le Département indique pour l'été 2025 que la piscine du parc d'Olhain est ouverte en juillet-août sur deux créneaux horaires, ce qui confirme une ouverture saisonnière.",2025-03-31,2024-09-19
I628260004,CENTRE TENNISTIQUE PIERRE DE COUBERTIN,62826,Le Touquet-Paris-Plage,200069029,CA des Deux Baies en Montreuillois,62,Pas-de-Calais,27,1,seasonal,Ouverture saisonnière,La fiche officielle du Centre Tennistique Pierre de Coubertin précise que la piscine extérieure chauffée de 25 m est ouverte d'avril à septembre selon les conditions climatiques.,Office de tourisme du Touquet-Paris-Plage,https://www.letouquet.com/activites/centre-tennistique-pierre-de-coubertin/,2026-03-16,Forte,,1,La fiche officielle du Centre Tennistique Pierre de Coubertin précise que la piscine extérieure chauffée de 25 m est ouverte d'avril à septembre selon les conditions climatiques.,2025-03-31,2024-03-12
I625060002,SALLE DE JEUX ET TERRAINS DE PETANQUE,62506,Licques,200072478,CC Pays d'Opale,62,Pas-de-Calais,3,1,seasonal,Ouverture saisonnière,"Le site officiel du camping de Licques indique une piscine chauffée couverte et précise une ouverture du camping du 1 avril 2026 au 10 octobre 2026, ce qui confirme un fonctionnement saisonnier du site.",Camping Pommiers des 3 Pays,https://www.pommiers-3pays.com/,2026-03-16,Forte,,1,"Le site officiel du camping de Licques indique une piscine chauffée couverte et précise une ouverture du camping du 1 avril 2026 au 10 octobre 2026, ce qui confirme un fonctionnement saisonnier du site.",2025-03-31,2024-04-24
I020590004,Piscine Lucien Lahaye,02059,Beautor,200071785,CA Chauny-Tergnier-La Fère,02,Aisne,2,2,open_probable,Ouvert probable,"La page municipale des services de Beautor présente la piscine Lucien Lahaye avec ses tarifs, ses coordonnées et ses activités, ce qui confirme l'exploitation du site.",Ville de Beautor,https://ville-de-beautor.jimdosite.com/services/,2026-03-16,Moyenne,,1,"La page municipale des services de Beautor présente la piscine Lucien Lahaye avec ses tarifs, ses coordonnées et ses activités, ce qui confirme l'exploitation du site.",2025-03-31,2024-04-23
I021730004,Espace Aquatique Oasis,02173,Chauny,200071785,CA Chauny-Tergnier-La Fère,02,Aisne,3,3,open_probable,Ouvert probable,"La communauté d'agglomération présente l'espace aquatique Oasis avec activités, horaires et informations pratiques, ce qui confirme l'exploitation du centre.",CA Chauny-Tergnier-La Fère,https://www.ctlf.fr/equipements/espace-aquatique-oasis/,2026-03-16,Forte,,1,"La communauté d'agglomération présente l'espace aquatique Oasis avec activités, horaires et informations pratiques, ce qui confirme l'exploitation du centre.",2025-03-31,2024-04-23
I021680004,Complexe Citélium,02168,Château-Thierry,200072031,CA de la Région de Château-Thierry,02,Aisne,3,3,open_probable,Ouvert probable,"La communauté d'agglomération présente Citélium comme centre aquatique géré et exploité sur le territoire, sans signal de fermeture durable.",CARCT,https://www.carct.fr/maccompagne/pour-bouger-et-me-divertir/ou-pratiquer/le-centre-aquatique-citelium-a-chateau-thierry,2026-03-16,Forte,,1,"La communauté d'agglomération présente Citélium comme centre aquatique géré et exploité sur le territoire, sans signal de fermeture durable.",2025-03-31,2024-09-24
I023400001,Piscine,02340,Gauchy,200071892,CA du Saint-Quentinois,02,Aisne,4,2,open_probable,Ouvert probable,"La page officielle de l'Agglomération décrit les bassins, les activités et les infos pratiques de la piscine de Gauchy, ce qui confirme l'exploitation du site.",Agglomération du Saint-Quentinois,https://www.agglo-saintquentinois.fr/passionnante/les-piscines-et-espaces-aquatiques/la-piscine-de-gauchy-1149.html,2026-03-16,Forte,,1,"La page officielle de l'Agglomération décrit les bassins, les activités et les infos pratiques de la piscine de Gauchy, ce qui confirme l'exploitation du site.",2025-03-31,2024-02-23
